data,id_point,class,colour,cond_microscm,oxig_mgl,ph,temp_wa_c,temp_air_c,co_total_mgl,dbo _mgl,fósf_total_mgl,nitro_kje_mgl,nitro_amo_mgl,sdiss_total_mgl,solido_total_mgl,turb,clor_a_microgl,Caracteristicas,Complemento,Type
2/6/2015,146 - 0 1 SP 06 100 BILL 02 100,BILL02100,Verde,213,1.49,7.08,19.96,18,5.24,4,0.15,0.85,0.18,176,182,2.92,16.93,,,
2/7/2015,146 - 0 1 SP 06 100 BILL 02 100,BILL02100,Verde,216,5.75,7.63,18.73,19,9.01,5,0.13,1.31,0.28,108,138,7.43,28.87,,,
12/8/2015,146 - 0 1 SP 06 100 BILL 02 100,BILL02100,Verde,210,13.66,9.64,21.75,24,11.6,4,0.13,2.11,< 0.1,106,124,45.4,112.27,,,
9/9/2015,146 - 0 1 SP 06 100 BILL 02 100,BILL02100,Verde,215,4.71,7.35,19.57,19,6.7,6,0.13,1.51,0.55,130,156,15.4,41.1,,,
10/22/2015,146 - 0 1 SP 06 100 BILL 02 100,BILL02100,Verde,215,5.93,7.37,22.52,21,5.95,6,0.16,2.26,0.89,106,138,16.6,68.16,,,
12/11/2015,146 - 0 1 SP 06 100 BILL 02 100,BILL02100,Verde,205,7.24,7.02,23.55,24,6.89,8,0.27,1.8,0.18,102,130,18.6,161.27,,,
9/12/2015,146 - 0 1 SP 06 100 BILL 02 100,BILL02100,Verde,203,7.27,7.48,23.94,24.9,8.3,6,0.23,< 0.5,0.22,136,140,9.19,117.61,,,
1/14/2016,146 - 0 1 SP 06 100 BILL 02 100,BILL02100,Verde,201,3.46,7.17,25.18,22.9,8.16,7,0.15,,0.32,106,124,20.3,84.2,,,
2/17/2016,146 - 0 1 SP 06 100 BILL 02 100,BILL02100,Verde,191,6.6,7.57,26.87,26,12.3,5,0.14,,0.29,120,120,40.8,80.19,,,
3/31/2016,146 - 0 1 SP 06 100 BILL 02 100,BILL02100,Verde,170,10.19,8.68,27.12,28.5,7.16,13,0.59,,0.25,<100,<100,153,350.16,,,
4/14/2016,146 - 0 1 SP 06 100 BILL 02 100,BILL02100,Verde,181,8.01,7.45,27.37,28,11.2,6,0.18,,<0.1,192,202,44.6,73.06,,,
5/31/2016,146 - 0 1 SP 06 100 BILL 02 100,BILL02100,Verde,200,3.99,6.54,20.25,21.7,5.27,11,0.15,,1.36,136,146,8.9,30.74,,,
6/15/2016,146 - 0 1 SP 06 100 BILL 02 100,BILL02100,Verde,194,8.19,7.25,19.61,20.1,6.13,11,0.18,,0.91,100,100,9.4,37.76,,,
7/6/2016,146 - 0 1 SP 06 100 BILL 02 100,BILL02100,Verde,194,2.48,6.69,18.34,20.8,5.34,4,0.15,,0.28,100,106,8.15,23.72,,,
10/8/2016,146 - 0 1 SP 06 100 BILL 02 100,BILL02100,Verde,188,6.07,7.27,17.69,17,5.68,<3,0.13,,0.13,<100,<100,14,52.46,,,
10/27/2016,146 - 0 1 SP 06 100 BILL 02 100,BILL02100,Verde,197,3.32,7.31,22.51,23,11.4,11,0.33,,0.95,126,140,42.5,102.24,,,
